edge_id,point_id_left,point_id_right,kBT_left,J_A_left,kBT_right,J_A_right,z2_left,z2_right,topology_left,topology_right,z2_change_candidate,p0_sign_change_candidate,ppi_sign_change_candidate,edge_length_norm,bulk_gap_min,pfaffian_margin_min,mid_kBT,mid_J_A
103,63,5131,0.0583333333333333,0.5565000000000001,0.0676666666666666,0.5830000000000001,0,0,trivial,trivial,False,False,False,0.02352503629077693,0.05900693195509558,0.0714970237998627,0.06299999999999994,0.5697500000000001
104,63,5349,0.0583333333333333,0.5565000000000001,0.049,0.5896250000000001,0,0,trivial,trivial,False,False,False,0.026567708270722988,0.051628995260377925,0.06176156149438208,0.053666666666666654,0.5730625
105,63,6152,0.0583333333333333,0.5565000000000001,0.0583333333333333,0.5896250000000001,0,0,trivial,trivial,False,False,False,0.02057613168724276,0.04593860810355817,0.05701913732554614,0.0583333333333333,0.5730625
106,63,6223,0.0583333333333333,0.5565000000000001,0.0886666666666666,0.4505,0,0,trivial,trivial,False,False,False,0.08555073838768729,0.10027708314138924,0.11278398655665081,0.07349999999999995,0.5035000000000001
107,63,6262,0.0583333333333333,0.5565000000000001,0.0396666666666666,0.5763750000000001,0,0,trivial,trivial,False,False,False,0.03580893045688232,0.07411971755471317,0.08430543353272246,0.048999999999999946,0.5664375000000001
108,65,179,0.1213333333333333,0.3975,0.126,0.38425,0,0,trivial,trivial,False,False,False,0.011762518145388564,0.25679056842895537,0.2733939170104722,0.12366666666666665,0.390875
109,65,482,0.1213333333333333,0.3975,0.1213333333333333,0.38425,0,0,trivial,trivial,False,False,False,0.008230452674897137,0.25679056842895537,0.2733939170104722,0.1213333333333333,0.390875
110,65,5227,0.1213333333333333,0.3975,0.1236666666666666,0.424,0,0,trivial,trivial,False,False,False,0.016988688160261303,0.23832201769077266,0.256084007120459,0.12249999999999994,0.41075
111,65,6225,0.1213333333333333,0.3975,0.1166666666666666,0.41075,0,0,trivial,trivial,False,False,False,0.011762518145388524,0.24501589912129584,0.26201600986846835,0.11899999999999994,0.404125
112,66,273,0.0303333333333333,0.424,0.0466666666666666,0.51675,0,0,trivial,trivial,False,False,False,0.06468639048182022,0.13262416395799076,0.14625188893259555,0.03849999999999995,0.470375
113,66,277,0.0303333333333333,0.424,0.028,0.371,0,0,trivial,trivial,False,False,False,0.033188849636756876,0.19205948001572337,0.21007703662203764,0.02916666666666665,0.39749999999999996
