point_id,kBT,J_A,Delta_opt,q_opt,thermo_phase_code,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved,pilot_source
868,0.5413333333333333,0.159,0.13368433604880312,-0.11199346928020934,2,FFLO,1,1,0,0,0,dataset_iter035
5899,0.0116666666666666,1.4045,0.0492734758431973,-1.161992057741346,2,FFLO,1,1,0,0,0,dataset_iter035
792,0.0163333333333333,0.7817500000000001,0.10451190580792548,-0.33770756678931374,2,FFLO,1,1,0,0,0,dataset_iter035
5351,0.014,1.5966250000000002,0.03433604880314308,-1.5007884856069977,2,FFLO,1,1,0,0,0,dataset_iter035
2231,0.4853333333333334,0.072875,0.37408550591838524,-0.050941966932349696,2,FFLO,1,1,0,0,0,dataset_iter035
3558,0.42,0.54325,0.09679151970075438,-0.4149230711321483,2,FFLO,1,1,0,0,0,dataset_iter035
2104,0.504,0.311375,0.18922326684825586,-0.2250757996367641,2,FFLO,1,1,0,0,0,dataset_iter035
4347,0.2916666666666667,0.6558750000000001,0.11493679942761746,-0.47507344707199795,2,FFLO,1,1,0,0,0,dataset_iter035
2698,0.4993333333333333,0.019875,0.34671733591072845,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
5996,0.0023333333333333,1.450875,0.03844665921899907,-1.248908786358883,2,FFLO,1,1,0,0,0,dataset_iter035
1890,0.049,0.072875,0.3978451554596006,-0.050941966932349696,2,FFLO,1,1,0,0,0,dataset_iter035
6084,0.3756666666666667,0.5763750000000001,0.18451165476295076,-0.4391362323204758,2,FFLO,1,1,0,0,0,dataset_iter035
1067,0.511,0.245125,0.228821845933699,-0.17485192957362122,2,FFLO,1,1,0,0,0,dataset_iter035
869,0.3593333333333333,0.377625,0.4383464922740909,-0.27469891876123353,2,FFLO,1,1,0,0,0,dataset_iter035
5392,0.4666666666666667,0.43725,0.15944857971305557,-0.32575352649458444,2,FFLO,1,1,0,0,0,dataset_iter035
3507,0.2333333333333333,0.523375,0.40496202944757553,-0.3765781474964007,2,FFLO,1,1,0,0,0,dataset_iter035
1757,0.0373333333333333,0.019875,0.3978451554596006,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
2668,0.0,0.954,0.0823561826101146,-0.475453621538201,2,FFLO,1,1,0,0,0,dataset_iter035
3485,0.1073333333333333,0.6095,0.27493755256254154,-0.34507617604712665,2,FFLO,1,1,0,0,0,dataset_iter035
6412,0.5203333333333334,0.2385,0.19052669235693573,-0.16996141793783584,2,FFLO,1,1,0,0,0,dataset_iter035
6436,0.021,1.378,0.05864661654135338,-1.1127819548872155,2,FFLO,1,1,0,0,0,dataset_iter035
