point_id,kBT,J_A,topology_label,bulk_gap,pfaffian_margin,nearest_neighbor_distance_norm
1567,0.378,0.30475,trivial,0.3358036680446016,0.3449743991599774,0.011762518145388545
5357,0.112,0.125875,trivial,0.39407232994765673,0.3781500193991052,0.011762518145388545
5227,0.1236666666666666,0.424,trivial,0.23832201769077266,0.256084007120459,0.011762518145388543
6225,0.1166666666666666,0.41075,trivial,0.24501589912129584,0.26201600986846835,0.011762518145388524
1569,0.168,0.298125,trivial,0.34751999673886064,0.35706879126654406,0.011762518145388524
1623,0.1726666666666667,0.311375,trivial,0.3413938822042375,0.3525283756045503,0.011762518145388524
1204,0.056,1.02025,topological,0.08301136621372679,0.49692079038777526,0.011762518145388515
203,0.2053333333333333,0.159,trivial,0.4451059195165545,0.43298146324793396,0.011762518145388513
1833,0.014,0.947375,topological,0.0721673580825383,0.44364571957087384,0.011762518145388513
691,0.21,0.14575,trivial,0.4538203491144312,0.4390897145504582,0.011762518145388513
6464,0.077,0.6426250000000001,topological,0.03961347520005492,0.0823133660598013,0.011762518145388505
6485,0.14,0.6691250000000001,topological,0.05921330582627864,0.10098022062393192,0.011762518145388505
770,0.1353333333333333,0.6558750000000001,topological,0.044659326097206534,0.07764956882288054,0.011762518145388505
3733,0.1423333333333333,0.5962500000000001,trivial,0.043757462274647295,0.05635583708364017,0.011762518145388486
2506,0.147,0.6095,trivial,0.021699319158238566,0.029847240851843204,0.011762518145388486
477,0.28,0.549875,trivial,0.11335074245546191,0.12731550348607287,0.011762518145388482
1971,0.0,0.8943750000000001,topological,0.07587546229932655,0.38628828697689144,0.011762518145388458
505,0.0326666666666666,0.178875,trivial,0.3349022770234647,0.3337984347540358,0.011762518145388399
513,0.028,0.192125,trivial,0.3286766430793308,0.3296559194480965,0.011762518145388399
5651,0.147,0.125875,trivial,0.4218909429244156,0.40358824927917936,0.011762518145388395
2248,0.21,0.072875,trivial,0.48412185001517094,0.45339475817038166,0.01176251814538839
970,0.2916666666666667,0.284875,trivial,0.38691731864538004,0.3962470500051368,0.011762518145388385
781,0.2473333333333333,0.125875,trivial,0.4780362136189026,0.4597472627851086,0.011762518145388385
937,0.2426666666666667,0.112625,trivial,0.4825647557989297,0.4612955800272663,0.011762518145388385
1073,0.2963333333333333,0.298125,trivial,0.37616688550243893,0.38692472072838424,0.011762518145388385
1664,0.3803333333333333,0.22525,trivial,0.3982965871778149,0.3974554941173947,0.011762518145388385
613,0.1936666666666666,0.125875,trivial,0.45388255122785254,0.43478816490106853,0.011762518145388385
1661,0.42,0.364375,trivial,0.23284966137810179,0.2492843387014776,0.011762518145388385
2250,0.189,0.112625,trivial,0.4566488889173315,0.4346950937068563,0.011762518145388385
1174,0.021,0.8480000000000001,topological,0.0866947763284882,0.33171910866297566,0.011762518145388381
1409,0.0,0.8678750000000001,topological,0.07837271637952652,0.35519823893866465,0.011762518145388381
1176,0.0256666666666666,0.8612500000000001,topological,0.08897618025185461,0.3457651957160374,0.011762518145388381
1785,0.3943333333333333,0.231875,trivial,0.38251445950439034,0.3825685666406161,0.011762518145388376
5264,0.1166666666666666,0.457125,trivial,0.2090245217612868,0.22729612165258103,0.011762518145388366
2256,0.0443333333333333,1.185875,topological,0.0636943525838717,0.4707495133036171,0.009356899577066357
5400,0.0956666666666666,0.43725,trivial,0.21575313776676966,0.23252322206147358,0.009356899577066346
6076,0.1493333333333333,0.629375,topological,0.008936901060273847,0.01413349583560397,0.009356899577066346
6168,0.1003333333333333,0.430625,trivial,0.22279748874900757,0.2396798140096595,0.009356899577066346
210,0.1913333333333333,0.258375,trivial,0.38387511975996647,0.3886659404139116,0.009356899577066332
600,0.2683333333333333,0.218625,trivial,0.43217390704740005,0.432126254652223,0.009356899577066332
