triangle_id,point_ids,center_kBT,center_J_A,circumradius_norm,topology_labels,contains_z2_change,bulk_gap_min,pfaffian_margin_min
3366,1431;7251;1092,0.22477777777777774,0.6779583333333333,0.09217053524274092,topological,False,0.0019791527777134545,0.1054558576139632
2406,4452;6855;1732,0.2644444444444444,0.6647083333333335,0.09217053524274023,topological,False,0.004081673279832171,0.08058886437574386
1114,2933;5770;1092,0.2084444444444444,0.6845833333333333,0.09217053524273985,topological,False,0.00016376781426613444,0.12086226697432625
1580,1173;1162;6734,0.24577777777777776,0.6713333333333334,0.09217053524273829,topological,False,0.0007948827632122827,0.09172000880698514
3019,2157;7119;7122,0.4612222222222222,0.46374999999999994,0.09189884436737225,trivial,False,0.00022850794075670512,0.05966009699524891
3020,7119;5947;7122,0.4651111111111111,0.45491666666666664,0.08494288765759749,trivial,False,0.0012066413672719102,0.06529062599578603
2152,2125;2998;5394,0.41144444444444445,0.54325,0.08095072477976205,trivial,False,0.0003428057314216799,0.019886319874903052
1142,2343;4971;5113,0.1594444444444444,0.7155,0.08095072477974982,topological,False,0.010871146676320893,0.17106023084788471
95,2906;2916;1130,0.027999999999999966,1.5458333333333334,0.07745376794645778,topological,False,0.022726066128362487,0.29389280120286204
3465,1577;7174;5998,0.05133333333333331,1.3603333333333334,0.07745376794645542,topological,False,0.022501578829437083,0.3893922091153631
1630,2405;3095;1719,0.0443333333333333,1.4133333333333333,0.07745376794645097,topological,False,0.02310901997843619,0.3614955459193549
347,7321;5936;3131,0.1291111111111111,0.7707083333333333,0.07353038219054354,topological,False,0.019684276195306837,0.22467566048715842
12,1382;901;1208,0.5156666666666667,0.3202083333333334,0.06747788999750842,trivial,False,0.004753840501324755,0.12913426004775785
4195,5966;4636;550,0.29555555555555557,0.6514583333333334,0.06644010494685032,topological,False,0.0025586979547054132,0.06399564689948864
1586,5254;4452;1732,0.2628888888888889,0.6647083333333335,0.06644010494685017,topological,False,0.004081673279832171,0.07986199200915034
3367,6048;1431;1092,0.22322222222222218,0.6779583333333333,0.06644010494685017,topological,False,0.0019791527777134545,0.1053335138571993
584,1147;2933;7303,0.1928888888888889,0.6912083333333334,0.06644010494685017,topological,False,0.00016376781426613444,0.13555631420402642
1115,1801;5770;2933,0.20688888888888887,0.6845833333333333,0.06644010494684985,topological,False,0.00016376781426613444,0.12081283391482892
4950,6906;550;6812,0.28155555555555556,0.6580833333333335,0.0664401049468497,topological,False,0.002025367209052305,0.07162558253545231
1579,1162;1173;6318,0.2442222222222222,0.6713333333333334,0.06644010494684807,topological,False,0.0007948827632122827,0.09132667456394175
25,626;7085;6860,0.008555555555555533,1.5944166666666668,0.06259293284182828,topological,False,0.023038333249840302,0.2720640328973531
31,766;1381;6139,0.546,0.17004166666666665,0.059202725348146176,trivial,False,0.009153094085108851,0.17886986961040952
779,2864;4172;2441,0.38966666666666666,0.5719583333333335,0.05401050849080837,topological;trivial,True,6.559718160225663e-05,0.0069822408257209645
3891,7119;4459;5947,0.4612222222222222,0.4615416666666667,0.05339066905469338,trivial,False,0.00491789780552737,0.06529062599578603
1383,5617;752;5012,0.4822222222222223,0.4151666666666667,0.053390669054688325,trivial,False,0.0058729349006749415,0.09162165301811535
1254,7321;6006;5936,0.1322222222222222,0.7596666666666668,0.05339066905468608,topological,False,0.019684276195306837,0.22467566048715842
11,901;2179;6384,0.5242222222222223,0.28929166666666667,0.05265809000105099,trivial,False,0.0014190807777142822,0.14267919865515416
571,1002;1421;1700,0.0007777777777777667,0.7927916666666667,0.05150541642439832,topological,False,0.08139882960659464,0.2363680552669406
202,2381;143;89,0.21466666666666667,0.45933333333333337,0.05087779870341245,trivial,False,0.16752742523812628,0.18618862101630498
201,143;2381;2400,0.20222222222222222,0.42179166666666673,0.050491990364222014,trivial,False,0.203149243932086,0.22343922585438503
73,89;143;265,0.23177777777777778,0.457125,0.04809670917416005,trivial,False,0.16752742523812628,0.18618862101630498
3362,3813;6048;1092,0.22166666666666665,0.6779583333333333,0.04500618513776855,topological,False,0.0019791527777134545,0.1052390136133887
1585,5893;5254;1732,0.26133333333333336,0.6647083333333335,0.04500618513776855,topological,False,0.004081673279832171,0.07918525109200308
582,7365;1801;2933,0.20533333333333334,0.6845833333333333,0.045006185137768294,topological,False,0.00016376781426613444,0.12079172328493035
5496,6300;6906;6812,0.28,0.6580833333333335,0.045006185137768155,topological,False,0.002025367209052305,0.07060343935545643
4196,6926;5966;550,0.294,0.6514583333333334,0.0450061851377681,topological,False,0.004737246172878397,0.06267824196687574
2358,4636;1203;6946,0.308,0.6448333333333335,0.0450061851377681,topological,False,0.00244463988550203,0.05677009922012988
1117,3477;1147;7303,0.19133333333333327,0.6912083333333334,0.04500618513776799,topological,False,0.004268090171828391,0.13546769705503692
1578,6318;1173;4591,0.24266666666666667,0.6713333333333334,0.04500618513776698,topological,False,0.0007948827632122827,0.09095507490071345
47,63;273;6223,0.06455555555555549,0.5079166666666667,0.04370535075505432,trivial,False,0.10027708314138924,0.11278398655665081
213,54;143;2400,0.2061111111111111,0.37762500000000004,0.04356038037469241,trivial,False,0.2777232535082105,0.29649679489857106
52,273;448;6223,0.06455555555555549,0.45933333333333337,0.043340422987414855,trivial,False,0.13262416395799076,0.14625188893259555
156,3806;63;6223,0.07777777777777774,0.5255833333333334,0.0430129287255623,trivial,False,0.0813753015277471,0.09623730474036915
170,90;650;441,0.041999999999999975,0.30254166666666665,0.042571247225558884,trivial,False,0.2567504455926043,0.27205508350571017
507,7085;1021;6860,0.008555555555555533,1.59,0.042456239054099565,topological,False,0.023316947769086546,0.2750607758609837
822,7059;4187;5013,0.5537777777777778,0.09275,0.042456239054099246,trivial,False,0.03322950587669669,0.19773912053439044
169,650;90;277,0.040444444444444436,0.3400833333333333,0.0421518962365496,trivial,False,0.22764049878217696,0.24509146119037878
68,275;440;335,0.2473333333333333,0.30916666666666665,0.041176357113123375,trivial,False,0.31183648433773126,0.3295471198586126
56,90;448;277,0.0521111111111111,0.36879166666666663,0.04051663695049812,trivial,False,0.21341219622242155,0.22938538100683334
69,440;1209;335,0.26055555555555554,0.33125,0.04037879127687722,trivial,False,0.31183648433773126,0.3295471198586126
71,143;275;335,0.23722222222222222,0.34450000000000003,0.040219143490613125,trivial,False,0.3099935060062933,0.32777355370946726
155,236;832;92,0.0365555555555555,0.7177083333333334,0.03995803395378488,topological,False,0.06698829837416631,0.1299868990285317
3580,236;1141;832,0.027999999999999966,0.7508333333333334,0.03947176264962089,topological,False,0.09266958739166797,0.17704460389916696
57,412;90;441,0.0583333333333333,0.29591666666666666,0.03947151894930309,trivial,False,0.27111908659449535,0.2840001786885424
233,359;2381;89,0.2092222222222222,0.510125,0.039078262088338034,trivial,False,0.15101268949441407,0.16923125851209522
3581,792;1141;236,0.02799999999999997,0.7751250000000001,0.039021225487768124,topological,False,0.09163029701636359,0.24332270827091543
60,489;412;441,0.0505555555555555,0.26058333333333333,0.038584567099068545,trivial,False,0.28336467084914446,0.2948299339612298
55,448;90;57,0.06688888888888887,0.3621666666666667,0.03833396163253084,trivial,False,0.21341219622242155,0.22938538100683334
227,7373;6167;6384,0.5312222222222223,0.25837499999999997,0.03792263427720389,trivial,False,0.0014190807777142822,0.15174314655048157
348,3806;3900;63,0.0754444444444444,0.5675416666666667,0.037834218473078364,trivial,False,0.06981474162460864,0.08397336958881094
102,212;1176;214,0.04122222222222217,0.8568333333333333,0.037577176534673074,topological,False,0.08897618025185461,0.26720409294063185
58,412;489;281,0.06377777777777774,0.23850000000000002,0.03752391301608829,trivial,False,0.28336467084914446,0.2948299339612298
67,1209;440;145,0.2652222222222222,0.311375,0.03743145514910149,trivial,False,0.3404257031262137,0.3558569934765162
101,232;212;214,0.05522222222222217,0.8590416666666667,0.037379144961518646,topological,False,0.09543395652580322,0.26720409294063185
157,2226;3806;6223,0.09333333333333331,0.51675,0.0372695452233476,trivial,False,0.0813753015277471,0.09623730474036915
332,1898;2340;281,0.06611111111111106,0.11925000000000001,0.03723963828749926,trivial,False,0.3388171072059798,0.337953511906172
43,654;1898;281,0.05677777777777773,0.13470833333333332,0.03710364986751402,trivial,False,0.3388171072059798,0.337953511906172
89,362;412;281,0.07699999999999997,0.24954166666666666,0.036845844771266546,trivial,False,0.28336467084914446,0.2948299339612298
53,66;448;273,0.04511111111111107,0.45050000000000007,0.03628900822362729,trivial,False,0.13262416395799076,0.14625188893259555
232,2381;359;3534,0.20222222222222222,0.5145416666666667,0.03618551499732565,trivial,False,0.1507364025086879,0.16923125851209522
79,60;124;265,0.2605555555555556,0.45050000000000007,0.03572357214934257,trivial,False,0.20874923832222453,0.22711933609701884
136,541;66;273,0.03499999999999997,0.47479166666666667,0.03568682376071647,trivial,False,0.13262416395799076,0.14625188893259555
65,828;943;1273,0.004666666666666667,0.39087500000000003,0.035669610866128534,trivial,False,0.19008553301573244,0.20901439298946695
217,143;54;275,0.21933333333333335,0.3356666666666667,0.03555410335385736,trivial,False,0.3099935060062933,0.32777355370946726
154,304;236;92,0.05211111111111107,0.7309583333333335,0.03533901330183609,topological,False,0.06698829837416631,0.1299868990285317
333,2340;5466;281,0.07777777777777774,0.12366666666666666,0.03507697664939783,trivial,False,0.3388171072059798,0.337953511906172
372,966;440;275,0.24888888888888885,0.25616666666666665,0.03482245558933141,trivial,False,0.3846673861955845,0.39292745049959393
373,631;966;275,0.24266666666666667,0.22966666666666669,0.03475710897076252,trivial,False,0.3846673861955845,0.39292745049959393
72,265;143;335,0.24188888888888885,0.41075,0.034552577498607705,trivial,False,0.21349696164823806,0.2330793530754341
1791,792;236;214,0.0404444444444444,0.7839583333333334,0.03434871967275721,topological,False,0.09163029701636359,0.2447302444953632
78,60;265;335,0.25355555555555553,0.417375,0.03417016201505695,trivial,False,0.21349696164823806,0.2330793530754341
216,54;132;275,0.20766666666666667,0.29812500000000003,0.03391592298968312,trivial,False,0.3244834016365944,0.3400324507877272
62,489;654;281,0.054444444444444406,0.178875,0.03375829122157147,trivial,False,0.3169827487267571,0.3214416298794473
1789,1174;792;214,0.029555555555555533,0.80825,0.03372169132148729,topological,False,0.0866947763284882,0.2579744089239287
70,275;132;254,0.21388888888888888,0.245125,0.033265849866460195,trivial,False,0.3820433449913244,0.38786701543076935
151,654;657;1898,0.048222222222222166,0.106,0.033122350002857806,trivial,False,0.35817885955567763,0.34775502753859344
